
t0,2451545,T0,in JD - EPOCH J2000
au,1.495978707E+11,AU,Astronomical Unit in meters
sunMass,1.989E+30,MM,Mass of the Sun in kg
gravity,6.67384E-11,G,Gravitational constant in SI units
sideralJ2000,280.46,Base Gamma,Greenwich sideral angle at J2000 epoch in degrees
earthTilt,23.439,Tau,Earth's tilt in degrees
earthMass,5.97E+24,m,Mass of earth in kg
earthSMA,1.00000011,a,Earth's semi major axis in AU
earthInc,0.00005,i,earth inclination
earthEcc,0.016710224,e,Eccentricity of the Earth
earthNode,11.26064,OMEGA,Earth longitude of the ascending node in degrees
longPre,102.94719,,longitude of the perihelion
meanLong,100.46435,,mean longitude
equotorialA,6378137, a, equotorial semi-major axis of earth
polarB,6356752.3142, b, polar semi-major axis of earth
